"1006","No, no, no, no."
"1006","Um, i wanted to actually discuss something with you."
"1006","I was hoping to have an open conversation about potentially increasing my salery."
"1006","So i personally believe that i've done a lot of good things for this company, such as leading many projects, bringing lots of business to the company, and i've taken on a lot of extra work that wasn't necessarily assigned to."
"1006","Yes, indeed, i do."
"1006","Um, in fact, i feel like you could ask anyone in the office, including upper management, about my work ethic."
"1006","And i believe that i worked harder than almost anyone."
"1006","what aren't you the one who has the final say?"
"1006","i don't understand why we would why you would need thio discuss this with upper management."
"1006","like i said earlier, you could ask anyone in the office including upper management about my work ethic and i think they definitely back."
"1006","i understand i understand and i definitely i respect that, but i just think that i'm asking to just think about raising the salary considering that i've been working here for three years, i've never had any problems i've won numerous employee of the month awards as well as earning the highest productivity rate in the office last year and considering that i have filled in for higher management numerous times, i believe that the current salary i have doesn't reflect accurately what i'm capable of doing,."
"1006","Can you can you explain a little bit more?"
"1006","I would definitely wouldn't say it's very urgent, but i would i would appreciate if we could just get get it into the talks and just thinking about, like, raising my salary, considering i've been working for the past three years, maybe, like, on my fourth year of working, i would expect, not expect, but i would appreciate ah, higher raise a raise."
"1006","Um, but i do understand that is a long process."
"1006","No, because i definitely think, considering the way how open you are, of discussing the possibility of a raise that i could come back next year or the year after that."
"1006","And try to, you know, discuss the higher salary when the future, when the company is going to be doing much better."
"1006","And when i will be more much more experienced than too."
"1006","Cool."
"1006","Thanks."
"1762","Oh, hi."
"1762","I was hoping to talk to you about something."
"1762","I just wanted to have an open conversation with you about potentially increasing in my salary."
"1762","Um, well, i've been at this company for a long time for three years, and i haven't received a pay raise and all three of these years."
"1762","Um, i believe that i have done really good work in this company."
"1762","I put in a lot of effort on, and i think that results speak for themselves."
"1762","I've won employee of the month awards numerous times."
"1762","I have the highest productivity rate for the office in the last year, and i filled in for upper management several times."
"1762","So i do believe that i am doing a lot of good work here and that i'm deserving of a raise."
"1762","i think that i do more than my colleagues who are in the same position."
"1762","I've also been here for a longer time."
"1762","So i have more experience."
"1762","Um, and i think that if you just look at, you know, my employment records, or if you look at your feedback from my managers, that you'll see that i've done above and beyond what a regular worker does here."
"1762","Oh, um, i guess i just wanted to give you a heads up."
"1762","And i knew that you would have a lot of influence on that."
"1762","I guess I will just apply for that."
"1762","Um, i think that i will definitely continue."
"1762","To, keep up the word work."
"1762","I think that i've been keeping now."
"1762","I definitely think i could bring more customers."
"1762","And i think that in the future, i have the ability to do really well, in a higher management position get."
"1762","I understand the vision of the company well, and we'll be able to lead it and do better things for the future."
"1762","Yeah, absolutely."
"1762","Yeah."
"1762","I think that that's, always something that I’m looking for, more opportunities to prove myself."
"1762","Yeah, absolutely."
"1762","Um, and i just tell them everything that I’ve told you."
"1762","I think bring in my work records and they will speak for themselves."
"2037","Hi."
"2037","i actually wanted to discuss something with you."
"2037","I was hoping to open a conversation with you about potentially increasing my salary."
"2037","I have done a lot of good things for the company, I’ve led many projects running a lot of business for the company, and i've taken a lot of extra work that was not assigned to me."
"2037","Oh, i can show them all the work."
"2037","I think."
"2037","You know, for the past couple of months."
"2037","I think they would Be very impressed."
"2037","Okay, thank you."
"2037","I really appreciate that."
"2037","When do you think you could do that?"
"2037","Y."
"2037","I’m sorry, excuse me?"
"2037","I see for searching for jobs, or."
"2037","Yeah, i guess the thing is that i really i want to stay here working for the company, because i put a lot of dedication and time into this community, because it's something i'm passionate about."
"2037","I’m really passionate about my work, and that’s been shown through the numerous employee of  the month of awards i received, um, you know, i earned the highest productivity rate in the office."
"2037","And so it's."
"2037","Not so much a problem with me being unhappy with job."
"2037","It's the fact that i have been so much into it."
"2037","But i don't feel that that's reflective with the work that i'm putting in salary receipt."
"2037","Yes, because i've been working for the past three years."
"2037","You know, i would say that we could compromise with about fifteen percent raise."
"2037","What would that be in addition to what i'm currently doing."
"2037","I see."
"2037","So maybe, if we get the salary taking care of, and then see where that goes."
"2037","And then if that gets approved then."
"2037","Maybe i could take that on for either increase salary."
"2037","Or possibly a bonus or something."
"2037","Okay, sounds great."
"2037","So i'll fill out the application for the salary increases."
"2037","Then we'll get that on."
"2037","Then talk about the advertising project you talked about that's."
"2037","sounds Interesting,."
"2270","Uh yes i actually wanted to discuss something important with you regarding my future and present in the company and i was hoping to have an open conversation with you about potentially increasing my salary."
"2270","Um well because i believe that i have done a lot of helpful things for the company and for my team i have led many projects brought in a lot of business for the company and have taken a lot of extra work that wasn't necessarily a part of my role but i took the initiative to go above and beyond and i've even filled in for higher management numerous times which has given me a lot of exposure and something that's higher than my job."
"2270","I think that my past record speaks for the future as well i'm a hard worker i'm driven and my passion for my my passion for my career also has to do with the company if the company does better i know that i will benefit from it as well so i always strive to do things that will help better my team, my company and my career as a whole."
"2270","well i'm not sure what the other employees have done and i can't speak on their behalf i can show you that what i've been working on and that's a two fold answer one is in the numbers and you can see that i've won numerous employee of the month awards i've earned the highest productivity rate in the office for last year and like i said earlier have i filled in for higher management numerous times whatever it's needed and that's more of the numbers part of it and stuff that you can see right away the more qualitative to part of that is that i believe that the people i work with whether it be my direct managers whether it be people below me or whether it be my co workers can really see the passion in time and effort i've put into this company and to really have a raise would incentivize me to do even better and to grow even more and be more successful along what making the company more successful aswell."
"2270","Um, of course, anything would be appreciated since, like i said, i would love to have a little bit of, uh, incentive for all the work that i do put it to this company."
"2270","And if you do happen to have some leeway a little bit of leeway with the budget, i promise you that what you i will be an investment to the company."
"2270","What you end up spending on me ?"
"2270","I will work as hard as I can."
"2270","Like i said, earlier numbers and inequality to earn back twice, three times four times as much for the company itself through my contracts."
"2270","Yeah, i would love to talk to that."
"2270","I can show them all the work that i've been doing these past couple of months."
"2270","And hopefully i believe they would be very impressed."
"2270","Thank you so much, thanks."
"2303","Hello, was wondering if you had a moment to talk."
"2303","Well, i was wondering if we could discuss my current status in the company i was, hoping to potentially discuss on increased my salary."
"2303","Well, i had been thinking about it."
"2303","I was thinking about my role and position and involvement in the company, uh, was thinking about the work and the business that have provided in the past when the work that i continue to do today, um, i think that these things no."
"2303","In my mind, are deserving of an increase in salary."
"2303","Of course i understand."
"2303","Well, i think that the multiple projects that i've been involved with, uh, all of which have been successful."
"2303","I've been working here for three years."
